sentence_id,text_source,mean_nll_human,mean_nll_ai,mean_nll_diff,n_tokens,pct_ai_style,pct_human_style,pct_neutral
73d6bc7a9613e548b074cf5d5228d1d4,human,3.502517414327042,3.5044686809146346,-0.0019512665875924702,39,0.1282051282051282,0.07692307692307693,0.7948717948717948
5025664a2e78351860b1d58f8eebab07,human,3.662487191890883,3.5569281342436825,0.10555905764720039,46,0.10869565217391304,0.10869565217391304,0.782608695652174
b440020418838b652e51ed9936842234,human,3.754352609959564,3.714764820345278,0.03958778961428574,56,0.08928571428571429,0.05357142857142857,0.8571428571428571
5d8e7c98add52fa01e03d47e7c490efc,human,2.713225009572162,2.685774138377947,0.02745087119421504,58,0.10344827586206896,0.06896551724137931,0.8275862068965517
83fa315cdb4c69a8b9447b048d1a21ae,human,2.772159157197594,2.713027376867317,0.059131780330276607,68,0.10294117647058823,0.014705882352941176,0.8823529411764706
7576b1dc6ca9f03092ca964998c4b1e0,human,3.0891569186611116,2.9271220666806603,0.16203485198045145,49,0.12244897959183673,0.0,0.8775510204081632
b6ad6e82032114a6d36499955b487d77,human,3.040848236490876,2.9154828818372436,0.12536535465363252,58,0.13793103448275862,0.034482758620689655,0.8275862068965517
94635c5d11963a7ca2bfee7b7694af2a,human,3.285773586873802,3.154346202635679,0.1314273842381226,64,0.109375,0.046875,0.84375
d5f8a8d821893a1c2aa37ff1b785f777,human,3.249214803551634,3.1637100137925396,0.08550478975909452,60,0.08333333333333333,0.05,0.8666666666666667
0b180603593bceaffe671ce5b1c465d7,human,3.2537544447634565,3.207391373396508,0.04636307136694852,38,0.07894736842105263,0.02631578947368421,0.8947368421052632
9622416ee42a38a745dbb9a7ff207e41,human,3.936584410723299,3.8580487286671996,0.07853568205609918,32,0.09375,0.0625,0.84375
2770cc454b7152804c44d763786d405c,human,3.6303772784194734,3.586491799756634,0.04388547866283961,52,0.057692307692307696,0.019230769230769232,0.9230769230769231
4fa44cc76755cf42166be3136500796f,human,3.9372252141474746,3.8584889729565477,0.0787362411909271,40,0.1,0.025,0.875
332458484f646fef858c2e311b945143,human,3.174352454768748,3.134595828149362,0.03975662661938589,55,0.12727272727272726,0.09090909090909091,0.7818181818181819
09ee9e4e184aad60b5c6b9febbe51692,human,3.94120927112685,3.847021789078347,0.09418748204850337,44,0.11363636363636363,0.022727272727272728,0.8636363636363636
c6953f899b3caabff9ec4992c6c5c366,human,2.975084041877417,2.9385024353227345,0.036581606554682365,50,0.02,0.04,0.94
339c2f627dc5927c9b0ec120fb2f2653,human,3.93145848635365,3.801927523139645,0.12953096321400473,34,0.14705882352941177,0.029411764705882353,0.8235294117647058
3418ec89a2b724082814da1966d9562b,human,3.5210709994332863,3.4041595183475875,0.11691148108569906,50,0.12,0.06,0.82
d053e77ef42c1c90fd345616a349e19f,human,3.524779402537317,3.5143330170795686,0.010446385457748321,41,0.12195121951219512,0.07317073170731707,0.8048780487804879
cddf1da76e159c360913488902330e3e,human,5.189609753992409,5.120611664652825,0.06899808933958411,30,0.13333333333333333,0.1,0.7666666666666667
032e47b1c4c5af214757515a6664327d,human,3.592575409636139,3.585992783915646,0.006582625720493153,49,0.10204081632653061,0.12244897959183673,0.7755102040816326
be1d7c45f5e7aa1f9673feeab6eb2df3,human,3.4575488937220404,3.454087479853086,0.0034614138689542575,63,0.06349206349206349,0.047619047619047616,0.8888888888888888
b1942f169e129f6fd766e52463eee0d7,human,3.5590358370294175,3.438003768081753,0.12103206894766444,39,0.10256410256410256,0.0,0.8974358974358975
6aa97b79ef4437a722d0310cd3f4b5dd,human,3.4915888966124102,3.5739134540686988,-0.08232455745628858,37,0.0,0.05405405405405406,0.9459459459459459
66bc4fdb5581bf91ddd078c85963c850,human,4.565882786583199,4.554366196733142,0.01151658985005735,43,0.06976744186046512,0.046511627906976744,0.8837209302325582
8eb8d74b5e5ecec585014349488c8719,human,3.478963841474615,3.3650948321330363,0.11386900934157893,40,0.1,0.025,0.875
6672ac27461c36848fd3d01e4b1ab678,human,2.847533337790899,2.8901725695468485,-0.04263923175594941,49,0.02040816326530612,0.10204081632653061,0.8775510204081632
f2b5b957b99f9c990c9a60d68626c9f4,human,4.690508462397791,4.626721345705957,0.0637871166918336,41,0.12195121951219512,0.12195121951219512,0.7560975609756098
d3aa71a72c4758da75eceb34c42c6572,human,3.93991603114103,3.83391649903027,0.10599953211076035,57,0.14035087719298245,0.03508771929824561,0.8245614035087719
7fe45f7de165b5b93be1fec583bb8d14,human,3.7537614813351885,3.695023938941031,0.0587375423941573,47,0.06382978723404255,0.0425531914893617,0.8936170212765957
3f49bc214d4e6337e603c4b0ba498369,human,3.9968060495824935,3.9318149031194696,0.06499114646302427,34,0.08823529411764706,0.0,0.9117647058823529
badea0a92ece150914e03ff0e0743045,human,4.187898452690941,4.149367328099114,0.03853112459182739,47,0.10638297872340426,0.0851063829787234,0.8085106382978723
fa5ff050966c7bd7c78775f4d58e2714,human,3.2100490872493537,3.1367849369329632,0.07326415031639044,40,0.075,0.05,0.875
e3bd1e8356b6174df19c625241d84683,human,3.1320576571129464,3.0389244391557737,0.09313321795717285,37,0.10810810810810811,0.05405405405405406,0.8378378378378378
b364effb8c1b035024c9e4375f2d1b1d,human,2.941673873682899,2.904277263674885,0.03739661000801396,51,0.0784313725490196,0.0392156862745098,0.8823529411764706
d2bd79d5f1779429b77f02c73d97c636,human,4.05664172014539,4.030245728556607,0.02639599158878396,44,0.06818181818181818,0.045454545454545456,0.8863636363636364
8799e59fda9a4ee4391fb1b1901b9d93,human,3.484987776933445,3.282644393750363,0.20234338318308195,36,0.2222222222222222,0.05555555555555555,0.7222222222222222
6d022151fb79dbc4464720d851867794,human,3.513054033703342,3.432701477742925,0.0803525559604168,49,0.16326530612244897,0.02040816326530612,0.8163265306122449
