base_model,style,final_train_loss,final_val_loss,final_val_ppl,num_train_samples,num_epochs
gpt2,human,3.8853,3.635115385055542,37.906226456860686,800,3
gpt2,gpt-5,3.6025,3.404738187789917,30.10641246561087,800,3
gpt2,gpt-5-mini,3.6559,3.432365655899048,30.94977272781776,800,3
gpt2,grok-3,3.5012,3.3556060791015625,28.662970955043082,800,3
gpt2,llama-3.3-70b-instruct,3.5595,3.363415479660034,28.887687886630832,800,3
gpt2,pooled_ai,3.3752,3.3061349391937256,27.27948458250881,3200,3
