sentence_id,text_source,human_mean_delta,human_n_tokens,ai_mean_delta,ai_system,ai_n_tokens,contrast_score
2ac2ce30ab3dff599c29f32ccc1faed9,human,0.14997410823901494,30,0.34090474702284806,grok-3,35,0.19093063878383312
f203db3e5edaca48f4147b4e34c477cf,human,0.01905752102303427,34,0.1834087980572473,llama-3.3-70b-instruct,33,0.16435127703421304
